table,colname,sdesc,type,length,constraints
derived,derived_ind_hour_16_20,derived - indicator of hour 16-20,NUMBER ,,Crash data
derived,derived_ind_hour_20_24,derived - indicator of hour 20-24,NUMBER ,,Crash data
derived,derived_ind_weekday,derived - indicator weekday mon-fri,NUMBER ,,Crash data
derived,derived_ind_weekend,derived - indicator of weekend sat sun,NUMBER ,,Crash data
derived,derived_ind_fri_sat,derived - indicator of fri and sat,NUMBER ,,Crash data
derived,ind_fatal,derived - indicator of fatality (deaths),NUMBER ,,dependent var
derived,ind_maj_inj,derived - indicator of major injuries,NUMBER ,,dependent var
derived,ind_fatal_maj_inj,derived - indicator of fatality or major injuries,NUMBER ,,dependent var
derived,derived_ind_summer_6_8,derived - indicator of summer jun-aug,NUMBER ,,Crash data
derived,derived_ind_winter_11_2,derived - indicator of winter nov-feb,NUMBER ,,Crash data
derived,tmp_vehicle_model_age_min,derived - temporary,NUMBER ,,Crash data
derived,derived_vehicle_model_age_min,derived - minimum vehicle model age,NUMBER ,,Crash data

